customer_id,company_name,segment,country,signup_date
112,"Osborne, Gardner and Quinn",Mid-Market,UK,2025-07-27
113,Jones PLC,Mid-Market,Australia,2024-06-07
114,Delacruz and Sons,Mid-Market,Australia,2024-06-15
115,"Ortega, Wallace and Strong",SMB,Canada,2025-02-26
116,"Kemp, Garcia and Brown",SMB,USA,2024-12-06
117,Newton-Bates,Mid-Market,Canada,2024-09-11
118,"Lloyd, Gonzalez and Miller",SMB,Canada,2024-04-20
119,Malone and Sons,Enterprise,Canada,2025-04-26
120,"Norris, Smith and Peterson",SMB,Canada,2025-04-16
121,"Moore, Humphrey and Ryan",SMB,Canada,2024-08-21
122,Moore Group,SMB,Canada,2025-02-12
123,Sanchez-May,SMB,Canada,2024-10-12
124,Munoz LLC,Mid-Market,Canada,2025-07-03
125,"Brooks, Wilcox and Knight",Enterprise,Canada,2024-09-24
126,Lopez LLC,SMB,Canada,2024-09-28
127,Fernandez-Richards,SMB,USA,2024-12-19
128,Johnson and Sons,Mid-Market,Canada,2025-06-07
129,Berger-Carson,SMB,Canada,2024-07-13
130,Ramirez and Sons,SMB,USA,2024-01-02
131,"Mullen, White and James",SMB,Canada,2024-07-20
132,Goodman PLC,Enterprise,USA,2024-12-04
133,"Cain, Burns and Hutchinson",SMB,USA,2024-05-07
134,Simon and Sons,Mid-Market,USA,2024-11-12
135,"Lopez, Diaz and Ortega",Mid-Market,USA,2024-10-29
136,"Patterson, Williams and Doyle",Enterprise,USA,2025-01-23
137,"Ramirez, Scott and Romero",SMB,Canada,2025-08-05
138,"Knox, Ewing and Johnson",Mid-Market,Canada,2024-01-01
139,Lewis-Reed,Mid-Market,USA,2025-08-16
140,Gomez Inc,Mid-Market,Canada,2025-03-28
141,Jordan Group,Mid-Market,USA,2025-04-29
142,Barrett Group,SMB,USA,2024-06-22
143,Sheppard Group,Mid-Market,Canada,2024-12-09
144,Hill-Frank,SMB,USA,2024-08-28
145,"Tanner, Jones and Lopez",Mid-Market,Canada,2024-07-22
146,Potter-Harrell,Enterprise,USA,2025-05-01
147,"Kelly, Brown and Kline",SMB,Canada,2025-04-11
148,Jones PLC,SMB,USA,2024-07-18
149,Alexander-Ferguson,Mid-Market,Canada,2025-02-13
150,Martin Inc,SMB,UK,2024-01-06
151,Griffith-Anderson,SMB,USA,2024-04-19
152,"Harris, Boone and Martin",Mid-Market,Canada,2025-06-14
153,"Stone, Gonzalez and Roberts",SMB,Canada,2024-05-04
154,Johnson Inc,SMB,Australia,2025-06-27
155,"Spencer, Pierce and Kennedy",SMB,USA,2025-03-29
156,Johnson-Jacobs,SMB,Canada,2025-05-31
157,"Nicholson, Garcia and Hopkins",SMB,UK,2025-04-01
158,Miller and Sons,SMB,Canada,2025-05-01
159,Nicholson Ltd,SMB,USA,2024-10-10
160,Jackson-Harris,Mid-Market,Canada,2024-09-01
161,Berry PLC,Enterprise,Canada,2024-10-19
162,Carter-Harrison,Mid-Market,Canada,2025-07-07
163,Clark-Summers,Enterprise,USA,2025-01-27
164,"King, Clark and Becker",SMB,Canada,2024-03-06
165,"Hines, Snyder and Soto",Mid-Market,Canada,2025-04-22
166,Lindsey LLC,Mid-Market,Canada,2025-03-06
167,Torres-Howell,SMB,UK,2024-01-21
168,"Jacobs, Duran and Nixon",SMB,Canada,2025-01-24
169,Edwards-Martinez,SMB,USA,2024-11-01
170,"Giles, Martinez and Cabrera",SMB,USA,2025-03-05
171,May-Carroll,SMB,Canada,2024-08-13
172,Henson-Luna,Mid-Market,Canada,2025-05-12
173,Webster-Williamson,Mid-Market,USA,2025-02-18
174,Gross-Johns,SMB,Australia,2024-05-10
175,Nicholson and Sons,Mid-Market,USA,2025-02-07
176,"Reeves, Smith and Ortiz",SMB,USA,2024-03-26
177,Joseph-Anderson,Enterprise,Canada,2025-04-17
178,Stein and Sons,Mid-Market,Canada,2024-12-01
179,Howell-Davies,Mid-Market,Canada,2025-01-23
180,"Williams, Norris and Garza",SMB,Canada,2025-03-07
181,"Conway, Cooper and Chung",Enterprise,USA,2024-01-20
182,"Wright, Shaw and Owens",Enterprise,Canada,2024-12-24
183,Murphy LLC,Enterprise,USA,2024-02-11
184,Morrison-James,SMB,UK,2024-07-23
185,Miller LLC,SMB,Canada,2024-09-01
186,Rollins-Lane,SMB,Australia,2025-07-31
187,"Larsen, English and Fernandez",Mid-Market,USA,2024-09-19
188,Williams LLC,Enterprise,USA,2024-04-27
189,"Galvan, Wolfe and Vaughn",Enterprise,Canada,2024-11-14
190,Clark-Foster,Enterprise,USA,2024-11-15
191,"David, Ward and Lynch",SMB,Canada,2025-01-19
192,Meadows LLC,SMB,USA,2024-03-18
193,"Weber, Ramirez and Young",SMB,Canada,2024-09-05
194,Castaneda PLC,SMB,USA,2024-05-03
195,Williams-Howell,SMB,Canada,2024-02-12
196,Butler LLC,Mid-Market,Canada,2025-01-14
197,Ayala LLC,SMB,UK,2024-01-13
198,Ramos-Young,SMB,Canada,2024-04-18
199,Moore-Chaney,Mid-Market,USA,2025-04-15
200,"Boyd, Obrien and Moore",Mid-Market,Australia,2025-06-18
201,Young-Thompson,Mid-Market,USA,2025-07-05
202,"Mclaughlin, Hill and Johnson",Mid-Market,Canada,2024-10-01
203,Lopez and Sons,Mid-Market,Canada,2024-03-29
204,Wilson Group,Mid-Market,USA,2025-04-20
205,Wang-Macdonald,SMB,Canada,2024-12-10
206,Hernandez Ltd,SMB,Canada,2024-07-05
207,Wolfe LLC,Mid-Market,Canada,2024-09-21
208,Smith Inc,SMB,USA,2024-10-09
209,Hawkins LLC,Mid-Market,Canada,2024-07-14
210,"Hernandez, Robinson and Norman",SMB,USA,2025-05-15
211,Douglas LLC,Mid-Market,USA,2025-05-02
212,Scott LLC,Mid-Market,Canada,2024-01-18
213,Spence-Jensen,Mid-Market,Canada,2024-09-06
214,Powell-Valentine,SMB,USA,2025-04-29
215,Brock-Smith,Mid-Market,Canada,2025-07-17
216,"Hill, Koch and Lambert",SMB,Canada,2024-10-04
217,Elliott Group,Mid-Market,Canada,2024-07-16
218,Carson-Vargas,SMB,Canada,2024-07-08
219,Erickson Inc,SMB,USA,2024-10-10
220,Brandt Group,SMB,USA,2025-06-21
221,Aguilar Ltd,SMB,Canada,2024-07-17
222,Gonzalez Ltd,Mid-Market,Canada,2024-11-05
223,Anthony-Anderson,Mid-Market,Canada,2024-10-07
224,"Graham, Randall and Collins",Enterprise,USA,2024-10-26
225,"Johnson, Leblanc and Dunn",Enterprise,Canada,2025-05-17
226,"Flowers, Maxwell and Shaffer",Enterprise,Canada,2024-10-18
227,Thompson-Mcdaniel,Mid-Market,Australia,2024-07-07
228,"Morris, Simmons and Martinez",Mid-Market,Canada,2025-05-04
229,Mullins-Martinez,Enterprise,Canada,2025-05-18
230,"Horton, Davis and Ross",SMB,Canada,2024-02-24
231,"Lopez, Underwood and Hartman",SMB,Canada,2024-11-07
232,Roth-Young,Mid-Market,USA,2025-07-25
233,"Edwards, Harris and Ponce",SMB,USA,2024-08-19
234,Sellers-White,Mid-Market,Canada,2025-03-29
235,"Simmons, Smith and Davis",SMB,Canada,2025-03-15
236,Douglas-Weeks,SMB,Australia,2024-04-11
237,Schmitt-Ford,Mid-Market,Canada,2024-08-04
238,"Booth, Wang and West",Enterprise,Canada,2024-09-02
239,Morrow-Miller,Enterprise,Canada,2024-01-03
240,Figueroa PLC,SMB,Canada,2025-04-26
241,Webb-Stuart,Mid-Market,USA,2024-10-16
242,"Henson, Castro and Strickland",Mid-Market,Australia,2024-08-27
243,Cooper and Sons,SMB,Canada,2024-07-21
244,Reilly-Pearson,Mid-Market,Australia,2024-06-01
245,Park-Cooper,SMB,Canada,2024-03-14
246,Massey PLC,SMB,Australia,2025-08-05
247,"Nguyen, Byrd and King",Mid-Market,USA,2025-04-24
248,Rogers-Neal,SMB,USA,2024-10-05
249,Perez-Rivas,Mid-Market,USA,2024-03-23
250,"Moreno, Carter and Rivera",SMB,USA,2024-11-26
251,Holmes Ltd,Enterprise,Australia,2024-08-22
252,"Daniel, Swanson and Huang",SMB,USA,2025-08-12
253,Castillo-Becker,Enterprise,USA,2024-10-02
254,Shaw LLC,SMB,Canada,2024-06-28
255,Reyes-Butler,SMB,Canada,2024-10-11
256,"Davis, Wolfe and Paul",SMB,Australia,2025-05-18
257,"Martinez, Campbell and Webb",Mid-Market,Canada,2025-02-22
258,Roberts Ltd,SMB,Canada,2024-06-13
259,Shepherd LLC,SMB,USA,2024-10-22
260,Hampton-Richmond,Mid-Market,Canada,2025-07-17
261,Phelps PLC,Enterprise,Canada,2024-09-15
262,Mills Inc,SMB,UK,2025-02-17
263,Sosa LLC,SMB,USA,2024-01-02
264,Jarvis-Smith,Mid-Market,Canada,2025-02-27
265,Hickman and Sons,Mid-Market,USA,2025-05-25
266,"Singleton, Jones and Brown",SMB,Canada,2024-07-27
267,Payne-Castaneda,Enterprise,Canada,2024-10-21
268,Davies PLC,SMB,Canada,2024-05-04
269,"Morse, Quinn and Rice",SMB,USA,2024-09-02
270,Adams-Reid,Mid-Market,USA,2024-01-15
271,Hahn-Davenport,Enterprise,Canada,2024-04-26
272,"Robinson, Santos and Rubio",Enterprise,Canada,2024-06-06
273,Oconnor-Graham,SMB,USA,2025-06-05
274,"Scott, Weaver and Flores",Mid-Market,Australia,2025-05-09
275,Lara PLC,Mid-Market,Canada,2025-07-18
276,Henry PLC,Enterprise,USA,2025-06-04
277,Wolfe-Cole,Enterprise,Canada,2024-03-12
278,Hopkins Ltd,SMB,Canada,2025-02-28
279,"Bishop, Thomas and Rogers",SMB,UK,2024-09-30
280,Reed-Ford,Mid-Market,UK,2024-11-01
281,"Hanna, Kaiser and Boyd",SMB,UK,2025-05-16
282,"Schwartz, Miller and Mendoza",Mid-Market,Canada,2025-05-10
283,Powell LLC,SMB,Canada,2025-07-10
284,Martinez-Schmidt,SMB,Australia,2024-07-12
285,Larson Inc,Mid-Market,Canada,2025-01-27
286,Morales-Valencia,SMB,Canada,2024-02-14
287,Bailey and Sons,Mid-Market,Canada,2025-01-25
288,"Coleman, Ramos and Gilmore",SMB,Canada,2024-06-04
289,"Porter, Ross and Williams",Enterprise,Australia,2025-05-29
290,Crawford Ltd,Mid-Market,UK,2024-04-12
291,Martinez LLC,Mid-Market,Australia,2025-06-22
292,May and Sons,Enterprise,Canada,2024-05-27
293,Bruce Group,SMB,Canada,2024-06-07
294,Butler LLC,SMB,Canada,2024-09-28
295,Byrd-Johnson,SMB,UK,2024-03-23
296,Wright-Thomas,SMB,Canada,2025-06-30
297,Zimmerman Inc,Mid-Market,UK,2025-05-14
298,"Turner, Vega and Hill",Enterprise,Canada,2024-03-11
299,"Davis, Cook and Bates",SMB,Australia,2024-10-21
300,"James, Chen and Griffith",SMB,Australia,2025-03-20
301,"Richmond, Fisher and Hunter",SMB,Canada,2024-04-12
302,"Kirby, Walsh and Ross",SMB,Canada,2024-01-30
303,"Robertson, Myers and Martinez",SMB,Canada,2024-10-27
304,"Cole, Villa and Fisher",Mid-Market,USA,2024-09-07
305,Frederick-Scott,SMB,Canada,2024-07-03
306,Baker LLC,Enterprise,USA,2025-01-26
307,"Peters, Thompson and Brown",Mid-Market,Canada,2025-08-20
308,Dillon Group,Mid-Market,Canada,2024-09-17
309,Baker PLC,SMB,Australia,2025-04-21
310,Wood Inc,SMB,Canada,2024-06-10
311,Norris Ltd,SMB,USA,2024-11-02
312,Lewis-Wolf,Mid-Market,Canada,2024-09-13
313,Wyatt-Gillespie,Mid-Market,UK,2025-01-28
314,Schmidt-Alvarado,Enterprise,USA,2025-01-25
315,Fernandez and Sons,SMB,Canada,2024-10-29
316,Ellis Group,SMB,Canada,2025-02-09
317,Davis-Byrd,SMB,Australia,2024-02-20
318,Edwards-Smith,SMB,USA,2024-10-20
319,"Walker, Lee and Andersen",Mid-Market,Canada,2024-12-26
320,"Richards, Flores and Conrad",Enterprise,USA,2024-09-13
321,Norris-Malone,SMB,USA,2024-05-20
322,Tanner and Sons,SMB,Canada,2024-02-10
323,Page Ltd,Mid-Market,Canada,2025-08-16
324,Chen LLC,Enterprise,Canada,2024-10-29
325,"Snyder, Becker and Johnson",Mid-Market,Canada,2024-07-24
326,Logan and Sons,Mid-Market,USA,2025-01-09
327,"Peterson, Ramirez and Williams",SMB,Canada,2024-06-17
328,"Sharp, Sutton and Schultz",SMB,Australia,2025-05-08
329,Ortega-Williams,Mid-Market,UK,2024-12-12
330,Rodriguez Group,Mid-Market,Canada,2024-03-18
331,Monroe-Schultz,SMB,Australia,2025-02-10
332,"Ford, Scott and Harris",SMB,Canada,2025-01-09
333,"Smith, Smith and Jimenez",Mid-Market,USA,2024-09-27
334,Johnston Ltd,Mid-Market,USA,2024-09-25
335,"Hayden, Rogers and Smith",SMB,Canada,2025-01-15
336,"Boyle, Montgomery and Phillips",Mid-Market,USA,2024-01-26
337,Delacruz-Johnson,SMB,Australia,2024-12-01
338,Burnett-Stephens,Mid-Market,USA,2024-03-05
339,Hall-Castillo,Mid-Market,USA,2024-11-05
340,"Haas, Stewart and Chung",Enterprise,Australia,2024-02-16
341,Gutierrez-Moore,Mid-Market,Canada,2025-05-19
342,"Nelson, Hamilton and Smith",Mid-Market,Canada,2025-07-04
343,Young-Castillo,Mid-Market,Canada,2025-07-07
344,Robinson LLC,SMB,UK,2024-06-07
345,Scott-Robertson,SMB,USA,2025-05-16
346,"Wright, Campbell and Brown",SMB,Canada,2024-10-13
347,"Sweeney, Lee and Tapia",Mid-Market,Canada,2025-03-30
348,Morrison PLC,Mid-Market,Canada,2025-01-06
349,Ortiz LLC,SMB,Australia,2025-07-11
350,Hendrix-Myers,SMB,Canada,2024-03-03
351,Jackson PLC,Enterprise,Australia,2024-05-05
352,"Coleman, Mathews and Young",SMB,USA,2024-04-03
353,Haas-Anderson,SMB,Canada,2024-01-22
354,"Velasquez, Stone and Humphrey",Mid-Market,USA,2024-05-08
355,Smith-Sanders,Mid-Market,Canada,2025-07-21
356,"Bates, Collins and Walker",Mid-Market,Canada,2024-08-26
357,Mitchell PLC,Enterprise,Canada,2024-01-03
358,Reed-Kennedy,SMB,USA,2024-05-13
359,Riley-Day,SMB,USA,2024-04-22
360,Shaffer-Price,Enterprise,Canada,2024-01-16
361,Miller-Brown,SMB,Canada,2024-11-27
362,Lee-Chen,Mid-Market,USA,2024-05-09
363,Rodriguez PLC,Mid-Market,Canada,2024-03-06
364,Luna-Mcknight,SMB,USA,2025-06-09
365,Scott PLC,Mid-Market,Australia,2024-08-14
366,Reid-Oconnor,Enterprise,Canada,2025-06-17
367,Chaney-White,SMB,Canada,2024-02-01
368,"Carey, Bautista and Fox",Mid-Market,Canada,2025-02-15
369,Johnson and Sons,Enterprise,Canada,2025-03-30
370,Diaz Group,Enterprise,Canada,2024-05-31
371,"Mcdonald, Reid and Duffy",Mid-Market,USA,2025-08-22
372,Diaz-Jones,Mid-Market,Canada,2025-06-27
373,"Ramirez, Gutierrez and Cain",Mid-Market,Canada,2025-03-16
374,Vasquez Ltd,SMB,USA,2025-07-18
375,Smith and Sons,Mid-Market,UK,2025-04-07
376,"Anderson, King and Turner",Mid-Market,Canada,2025-04-09
377,"Ball, Morton and Snow",SMB,Canada,2024-11-16
378,"Deleon, Villegas and Robbins",SMB,Australia,2025-01-18
379,Lopez-Holland,SMB,Canada,2025-04-30
380,Mann-Taylor,SMB,Canada,2024-04-05
381,Dickerson PLC,SMB,UK,2025-01-16
382,Blake-Chandler,SMB,Australia,2025-08-23
383,"Carr, Briggs and Johnson",SMB,Canada,2024-05-05
384,"Taylor, Hansen and Mcdowell",SMB,UK,2025-03-09
385,"Jackson, Williams and Miller",SMB,USA,2024-10-21
386,Perez-Casey,Mid-Market,USA,2025-08-14
387,"Reyes, Higgins and Taylor",Enterprise,Canada,2025-05-08
388,"Branch, Wilson and Johnson",Enterprise,Canada,2025-07-23
389,Lewis PLC,SMB,Canada,2025-08-10
390,Watkins PLC,Mid-Market,Australia,2025-07-28
391,"Miles, Owens and Hanson",SMB,Canada,2025-07-24
392,"Holt, Juarez and Hampton",SMB,Canada,2024-09-30
393,Martinez-Garcia,Mid-Market,Australia,2024-11-12
394,Howe PLC,Mid-Market,UK,2024-07-04
395,"Franklin, Hill and Kim",SMB,Canada,2025-02-14
396,"Martinez, Sheppard and Glover",SMB,Canada,2024-02-01
397,Robinson-Johnson,Mid-Market,Canada,2025-01-20
398,Jacobs Group,Mid-Market,Canada,2025-01-13
399,Walls Group,Mid-Market,USA,2025-08-04
400,Diaz-Villanueva,SMB,Canada,2024-06-08
401,Jacobs-Gordon,SMB,Canada,2024-03-24
402,"Gould, Martinez and Davis",SMB,USA,2025-05-12
403,Barton-Rowe,Mid-Market,USA,2024-08-08
404,Mercer-Myers,Enterprise,Canada,2025-03-16
405,Sampson Ltd,SMB,USA,2025-05-13
406,Moore Inc,Mid-Market,Canada,2024-08-13
407,Fletcher LLC,SMB,Canada,2024-01-08
408,Jones Inc,SMB,USA,2024-05-20
409,Johnson-Murphy,Mid-Market,Canada,2024-05-02
410,Cook Group,SMB,Canada,2024-06-28
411,King-Ryan,Mid-Market,USA,2024-08-23
412,Barry-Gomez,SMB,Canada,2024-12-28
413,Jackson Inc,SMB,Canada,2024-02-13
414,"Mccoy, Hunt and Kent",Mid-Market,UK,2024-03-20
415,Brooks-Shaffer,SMB,Canada,2025-08-10
416,Gray-Ayers,SMB,Canada,2024-10-23
417,Mccoy LLC,Enterprise,Canada,2024-11-28
418,"Delgado, Swanson and Robinson",SMB,UK,2025-04-16
419,Poole-Lopez,SMB,Canada,2024-03-31
420,Hall-Robinson,Enterprise,USA,2025-03-22
421,"Villa, Fletcher and Wilson",Mid-Market,UK,2025-02-09
422,Johnson Ltd,SMB,Canada,2024-08-14
423,"Fleming, Patton and Vincent",Enterprise,USA,2025-06-06
424,Walker and Sons,Mid-Market,Australia,2024-07-17
425,"White, Murphy and Ruiz",Mid-Market,Canada,2024-05-31
426,Rodriguez-Li,Enterprise,Canada,2024-07-21
427,"Peterson, Weiss and Day",Enterprise,Canada,2024-03-18
428,Day-Morris,SMB,Canada,2025-05-20
429,"Hamilton, Griffin and Fitzgerald",SMB,Canada,2025-08-16
430,Hall-Ball,SMB,USA,2025-08-01
431,Cain Ltd,SMB,UK,2024-11-26
432,Rose Group,SMB,Canada,2024-06-03
433,Herrera-Clay,Mid-Market,USA,2024-11-06
434,Smith-Garcia,SMB,USA,2024-12-26
435,Cole-Vasquez,Mid-Market,Canada,2025-04-07
436,Walters Inc,Mid-Market,Canada,2024-10-20
437,"Marshall, Mckenzie and Sanchez",SMB,USA,2024-04-02
438,Fields-Greene,Mid-Market,USA,2025-04-18
439,"Brown, Mcconnell and Freeman",SMB,Canada,2024-02-12
440,Roberts-Johnson,SMB,Canada,2024-07-11
441,Chavez-Watson,Mid-Market,Australia,2024-06-03
442,King and Sons,Mid-Market,Australia,2024-12-17
443,Gutierrez Ltd,Enterprise,Canada,2024-06-25
444,Davis and Sons,SMB,USA,2025-03-25
445,Lopez-Brown,SMB,Canada,2025-01-07
446,Moore-Miller,Mid-Market,USA,2025-02-22
447,Miller Inc,SMB,USA,2024-02-23
448,"Mathis, Frank and Blair",SMB,Canada,2024-03-08
449,Rios-Navarro,SMB,Canada,2025-01-30
450,Lambert Group,SMB,Canada,2024-06-02
451,"Johnson, Patel and Peterson",SMB,Australia,2024-05-24
452,Ramirez-Sanchez,Mid-Market,Canada,2025-02-05
453,"Nixon, Williams and Wilson",SMB,Canada,2024-03-27
454,Wagner-Morris,Mid-Market,UK,2024-12-02
455,"Miller, Burke and Scott",SMB,Canada,2025-06-23
456,"Cohen, Hoffman and Brown",SMB,Canada,2025-06-04
457,"Bell, Swanson and Lozano",Mid-Market,Australia,2024-07-03
458,Murphy-Gonzalez,Mid-Market,Canada,2025-05-12
459,Mills-Clark,SMB,Canada,2024-06-07
460,Patrick-Morris,SMB,USA,2024-04-13
461,"Romero, Rubio and Mitchell",Mid-Market,Canada,2025-06-23
462,"Warner, Werner and Nolan",Mid-Market,USA,2024-05-14
463,Mueller-Chen,Enterprise,UK,2024-07-04
464,"Sanders, Jackson and Owens",SMB,USA,2024-06-18
465,"Cruz, Todd and Carson",Enterprise,USA,2025-01-08
466,Shelton-Craig,Mid-Market,USA,2025-03-30
467,"Mason, Ortiz and Bentley",SMB,Canada,2025-04-04
468,"Reyes, Frederick and Nelson",Mid-Market,Australia,2025-04-25
469,Harris-Williams,Enterprise,Australia,2025-08-07
470,Nash Inc,Mid-Market,USA,2024-10-15
471,"Wilson, Allen and Campbell",Mid-Market,Australia,2025-03-04
472,Taylor-Brown,SMB,UK,2024-05-21
473,Williams-Pham,Enterprise,UK,2025-05-07
474,Williams Ltd,SMB,USA,2024-04-15
475,Casey-Adams,Mid-Market,Canada,2024-05-07
476,"Lopez, Ferrell and Nelson",SMB,Canada,2024-10-06
477,Evans Ltd,Mid-Market,Canada,2025-03-23
478,"Novak, Pratt and Burton",SMB,UK,2025-04-06
479,"Price, Marsh and Mullen",SMB,Canada,2025-02-28
480,"Rodriguez, Riley and Sandoval",Mid-Market,Canada,2024-08-29
481,"Bonilla, Kelly and Boyd",Enterprise,Canada,2024-08-17
482,"Walton, Roberts and Lewis",SMB,USA,2024-12-09
483,Graves-Barnes,Enterprise,Australia,2024-10-20
484,Richard-Robinson,Mid-Market,USA,2024-05-22
485,"Murray, Serrano and Sanchez",Mid-Market,Australia,2024-01-06
